"","distance_group","count","mean bought bottles","mean recycled bottles","mean recycling quota","sd recycling quota"
"1","0 - 500m",26,1.92307692307692,1.745,86.8076923076923,27.9098824515894
"2","501 - 1000m",14,1.78809523809524,1.31547619047619,76.4880952380952,37.3253462315686
"3","1001 - 2000m",11,1.63636363636364,1.39393939393939,84.5454545454545,27.9790686554839
"4","2000m +",2,0.666666666666667,0.666666666666667,100,0
