"","X","id","age","edu_lvl","gender","student_state","uni_state","university","household_size","bottles_bought","bottles_recycled","bottles_bought_pp","bottles_recycled_pp","recycling_percentage","transport_method","travel_distance","deposit_opinion","distance_opinion","comments","before","distance_group"
"36",36,44,24,"Matura","Female","No",NA,NA,2,3,3,1.5,1.5,100,"car",900,4,1,NA,"2025-05-17 00:47:36.339","501 - 1000m"
"37",37,45,26,"Bachelor","Female","Yes","Staff","Hslu",2,1,1,0.5,0.5,100,"bicycle",250,5,5,NA,"2025-05-17 00:49:51.548","0 - 500m"
"38",38,46,25,"Bachelor","Male","Yes","Master student","ETH Zürich",2,1,0,0.5,0,0,"foot",750,2,5,"Bottles per week is less than 1 not one.
LG ;)","2025-05-17 01:11:03.153","501 - 1000m"
"39",39,47,21,"Matura","Male","Yes","Bachelor student","ETH Zürich",5,5,5,1,1,100,"bicycle",1000,4,2,NA,"2025-05-17 07:31:08.938","501 - 1000m"
"40",40,48,25,"Bachelor","Male","Yes","Master student","UZH",3,5,5,1.66666666666667,1.66666666666667,100,"foot",600,5,2,NA,"2025-05-17 07:36:25.492","501 - 1000m"
"41",41,49,15,"Secondary school","Female","No",NA,NA,4,5,5,1.25,1.25,100,"foot",100,4,3,NA,"2025-05-17 08:11:54.721","0 - 500m"
"42",42,50,28,"Bachelor","Female","No",NA,NA,2,6,6,3,3,100,"foot",250,2,3,"We recycle everything, so each glass bottle that is coming in, is going to be seperated and correctly disposed of.","2025-05-17 08:24:20.37","0 - 500m"
"43",43,51,26,"Bachelor","Male","Yes","Master student","ZHaW",2,2,2,1,1,100,"car",2000,4,4,NA,"2025-05-17 08:37:46.985","1001 - 2000m"
"44",44,52,25,"Bachelor","Male","Yes","Master student","HSG",4,8,8,2,2,100,"car",2000,3,4,NA,"2025-05-17 09:39:41.901","1001 - 2000m"
"45",45,53,20,"Matura","Female","Yes","Bachelor student","ETH Zürich",4,12,12,3,3,100,"car",800,4,1,NA,"2025-05-17 09:44:43.566","501 - 1000m"
"46",46,54,59,"Apprenticeship","Female","No",NA,NA,1,0,0,0,0,100,"bicycle",500,5,NA,"There should be a deposit on every single beer-, Red Bull-, etc. - tin as well because of littering","2025-05-17 11:03:59.367","0 - 500m"
"47",47,55,28,"Master","Male","Yes","Master student","ETH Zürich",2,3,0.6,1.5,0.3,20,"foot",350,1,5,NA,"2025-05-17 12:27:20.807","0 - 500m"
"48",48,56,23,"Bachelor","Female","Yes","Master student","Uni Basel",5,3,3,0.6,0.6,100,"bicycle",700,5,5,NA,"2025-05-17 13:23:39.117","501 - 1000m"
"49",49,57,24,"Matura","Female","Yes","Bachelor student","ZHaW",1,2,0.5,2,0.5,25,"foot",800,5,4,NA,"2025-05-17 14:41:09.441","501 - 1000m"
"50",50,58,17,"Secondary school","Male","No",NA,NA,4,4,1,1,0.25,25,"foot",400,4,3,NA,"2025-05-17 14:51:31.239","0 - 500m"
"51",51,59,25,"Bachelor","Male","Yes","Master student","ETH Zürich",5,8,7,1.6,1.4,87.5,"car",800,3,4,NA,"2025-05-17 15:14:37.325","501 - 1000m"
"52",52,60,24,"Matura","Male","No",NA,NA,4,6,6,1.5,1.5,100,"foot",1000,2,1,"I recycle glass to save money on Gebührensäcke ;)","2025-05-17 16:18:34.920001","501 - 1000m"
"53",53,61,34,"Bachelor","Male","No",NA,NA,1,1,1,1,1,100,"foot",2,5,1,NA,"2025-05-17 20:52:24.357","0 - 500m"
"54",54,62,24,"Bachelor","Female","Yes","Bachelor student","ETH Zürich",3,5,5,1.66666666666667,1.66666666666667,100,"foot",50,3,1,NA,"2025-05-19 09:42:10.347","0 - 500m"
