"","Timestamp","How old are you (in years)?","What is your highest level of education?","What is your gender?","Are you currently studying or working at an university?","What is your current occupation at the university? (select most appropriate)","Which University are you affiliated with?","How many people live in your household?","During an average week, how many glass bottles/jars etc. does your household buy? Try to estimate a number.","How many of your households glass bottles/jars etc. are separated and returned to a collection point to be recycled? Try to estimate the amount of bottles.","When you return your used glass bottles, how do you transport them? Select the method you use the most.","How far is the distance from your home to the closest collection point for glass recycling? Please give an estimate in meters.","Do you think a deposit (""Pfand"") on glass bottles would increase the percentage of bottles being returned correctly for recycling?","Would you recycle more if your way to the next recycling station was shorter?","If you have any comments, you can add them here. Thank you for participating!"
"40",2025-05-17 00:17:46.174,25,"Compulsory Schooling (Obligatorische Grundschule)","Female","No",NA,NA,1,1,1,"By car",500,4,4,NA
"41",2025-05-17 00:19:55.227,25,"Bachelor degree","Male","Yes","Master student","ETH Zürich",3,2,2,"By car",4000,3,5,NA
"42",2025-05-17 00:27:41.322999,24,"Bachelor degree","Male","Yes","Master student","ZHaW",2,8,8,"By foot",300,3,5,"Geile siech"
"43",2025-05-17 00:30:57.522,26,"Bachelor degree","Male","No",NA,NA,3,10,10,"By bicycle",1500,3,4,NA
"44",2025-05-17 00:47:36.339,24,"Matura degree","Female","No",NA,NA,2,3,3,"By car",900,4,1,NA
"45",2025-05-17 00:49:51.548,26,"Bachelor degree","Female","Yes","Staff","Hslu",2,1,1,"By bicycle",250,5,5,NA
"46",2025-05-17 01:11:03.153,25,"Bachelor degree","Male","Yes","Master student","ETH Zürich",2,1,0,"I don't return my used bottles.",750,2,5,"Bottles per week is less than 1 not one.
LG ;)"
"47",2025-05-17 07:31:08.938,21,"Matura degree","Male","Yes","Bachelor student","ETH Zürich",5,5,5,"By bicycle",1000,4,2,NA
"48",2025-05-17 07:36:25.492,25,"Bachelor degree","Male","Yes","Master student","UZH",3,5,5,"By foot",600,5,2,NA
"49",2025-05-17 08:11:54.721,15,"Compulsory Schooling (Obligatorische Grundschule)","Female","No",NA,NA,4,5,5,"By foot",100,4,3,NA
"50",2025-05-17 08:24:20.37,28,"Bachelor degree","Female","No",NA,NA,2,6,6,"By foot",250,2,3,"We recycle everything, so each glass bottle that is coming in, is going to be seperated and correctly disposed of."
"51",2025-05-17 08:37:46.985,26,"Bachelor degree","Male","Yes","Master student","ZHaW",2,2,2,"By car",2000,4,4,NA
"52",2025-05-17 09:39:41.901,25,"Bachelor degree","Male","Yes","Master student","HSG",4,8,8,"By car",2000,3,4,NA
"53",2025-05-17 09:44:43.566,20,"Matura degree","Female","Yes","Bachelor student","ETH Zürich",4,12,12,"By car",800,4,1,NA
"54",2025-05-17 11:03:59.367,59,"Completed Apprenticeship (Abgeschlossene Lehre)","Female","No",NA,NA,1,0,0,"I return bottles I  unfortunately find daily in hedges, forrest, meadows :-(, by bike",500,5,NA,"There should be a deposit on every single beer-, Red Bull-, etc. - tin as well because of littering"
"55",2025-05-17 12:27:20.807,28,"Master degree","Male","Yes","Master student","ETH Zürich",2,3,20,"By foot",350,1,5,NA
"56",2025-05-17 13:23:39.117,23,"Bachelor degree","Female","Yes","Master student","Uni Basel",5,3,3,"By bicycle",700,5,5,NA
"57",2025-05-17 14:41:09.441,24,"Matura degree","Female","Yes","Bachelor student","ZHaW",1,2,25,"By foot",800,5,4,NA
"58",2025-05-17 14:51:31.239,17,"Compulsory Schooling (Obligatorische Grundschule)","Male","No",NA,NA,4,4,1,"By foot",400,4,3,NA
"59",2025-05-17 15:14:37.325,25,"Bachelor degree","Male","Yes","Master student","ETH Zürich",5,8,7,"By car",800,3,4,NA
"60",2025-05-17 16:18:34.920001,24,"Matura degree","Male","No",NA,NA,4,6,6,"By foot",1000,2,1,"I recycle glass to save money on Gebührensäcke ;)"
"61",2025-05-17 20:52:24.357,34,"Bachelor degree","Male","No",NA,NA,1,1,1,"By foot",2,5,1,NA
"62",2025-05-19 09:42:10.347,24,"Bachelor degree","Female","Yes","Bachelor student","ETH Zürich",3,5,5,"By foot",50,3,1,NA
